topic,team_a_args,team_b_args,winner
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain assisted suicide is just another form of murder.  murder is illegal so assisted suicide must be illegal as well. Assisted suicide is a criminal offense and is a form of assisted murder assisted suicide is a form of murder and should never be allowed. assisted suicide involves murdering someone which is illegal and should be treated as such.,assisted suicide allows terminally ill people to die with dignity and should not be criminalized assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention. assisted suicide gives people control over their life in terrible circumstances. it allows them dignity in death rather than living in terrible conditions for many years. assisted suicide allows for a person to die with dignity rather than go through a painful and dehumanizing process. assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.,Team B
Entrapment should be legalized,criminals are going to commit the crime either way. by allowing law enforcentment to use entrapment you just catch them sooner and keep that many more people safe. by using entrapment law enforcement is only making it faster to arrest those who are already going to commit the crime therefore saving someone from being a victim. Entrapment causes more criminals to be caught and taken off the streets. entrapment could help put criminals behind bars. entrapment enables law enforcement officers to better remove criminals from the streets,entrapment is an abuse of power from law enforcement and should not be allowed. entrapment is a deceptive method of catching criminals and wastes time and resources that would be better put to use catching active criminals. entrapment encourages people to try and get people to commit crimes which they might otherwise  not have committed. entrapment convinces people to commit a crime when they normally wouldn't and should not be legal. entrapment can lead people to commit crimes or engage in illegal activity by providing opportunities and temptations that they would not normally encounter or act upon.,Team B
Foster care brings more harm than good,"Unlike orphanages in which siblings can largely stay together with the hope of being adopted together, the foster care splits siblings up based on available homes and does very little to try and reunite families. a study comparing more than 22,000 former foster children with their age-matched peers found that the former group had  higher risk of  suicide attempts, risk of psychiatric disorders, and excess risks for psychosis and depression abuse and bullying are rife among foster children
it does not provide stability just temporary solutions there have been too many cases of people fostering just for the money rather than the wellbeing of the child so time to think of a better solution. The foster care system does not have the resources to ensure that every child it places receives the proper care; too many children are neglected and/or abused in their foster homes.","an upbringing with parents rather than an orphanage leads to children who are better socially adapted children are better off in foster care than on the streets or in juvenile detention Every system has its failings, but overall people involved in foster care are loving, devoted individuals with the children's best interests in mind. for some children, it allows them a proper family environment to grow in foster care can provide a child with a family structure.",Team A
Homeopathy brings more harm than good,"believing your body can naturally cure diseases is a bad way of thinking.   these diseases need strong medicine to be administered by a doctor. Homeopathic medicine is an exploitative industry that frequently makes unfounded claims about its effectiveness. homeopathic medicine contains no active ingredient so cannot cure illness, people using this instead of conventional medicine are likely to become more ill. homeopathy can keep some people from getting life saving medications. homeopathy can stop people from accessing proper medical care. this could lead to them not recovering as they should.","Because most of its formulations are heavily diluted, most homeopathic treatments are safe homeopathic medicines are usually used for chronic conditions that are not life threatening and may alleviate symptoms for some adherents but if not there is no harm because the substances are natural. Homeopathic medicine can be effective for treating certain ailments without using intense modern medicine. homeopathic remedies are natural and less harsh than pharmacological treatments. homeopathy brings more good than harm when it is used alongside traditional medical treatments for further alleviation of pain.",Team A
Homeschooling should be banned,"a lot of times, people who homeschool aren't qualified to teach all the subjects needed for a high school  diploma. all children should receive the same education to ensure a standard of learning is established. homeschooling can allow parents to stray for a standardized curriculum, meaning their children receive a sub-standard education that does not ready them for adult life. home-schooled children aren't socialized properly and may have difficulty adapting to the general populace children who are homeschooled may end up being lonely because they aren't socializing with school friends. there could also be the worry that they aren't getting a proper education.","as long as the children follow a standardised curriculum, homeschooling can be a rewarding experience for some people. children who are home schooled do better on tests. children get more one-on-one attention and materials can be tailored to best suit the child's learning needs. children can get more one on one assistance when they are  homeschooled and can learn at their own pace. banning homeschooling takes away the right of the parent to choose the education they feel is best for their children.",Team B
Surrogacy should be banned,"babies should never be for sale so surrogacy should never be allowed. Most surrogacy agreements take part between wealthy, educated white western world couples, and poor, uneducated young woman from the third world. The imbalance here is obvious and harmful. many people have been let down by surrogates that change their minds about handing over the baby and pocketing the money paid for expenses that it is obvious that lack of regulation means it should be banned. it often leads to the exploitation of women surrogacy can lead to the exploitation of poor women for the benefit of the rich.","A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess. couples have the right to explore options for starting a family, and if a third party is willing and able to consent surrogacy should be an option. it allows couples to have children who can't have them on their own. surrogacy gives a family to those who may not be able to conceive some people cannot conceive children for whatever reason, yet they should still have the chance to have a child.",Team A
The vow of celibacy should be abandoned,"a vow of celibacy is an archaic stricture that limits the freedoms of priests and harms their relationship with the world as they are less relatable to normal people and are suppressing their natural drives. celibacy has no place in the 21st century as it is nearly impossible to suppress human needs. celibacy is an outdated idea from the early churches. many priests do not live up to the vow they take. celibacy is antiquated and is no longer adhered to in today's modern society, therefore it should be abandoned. celibacy is an outdated ideology and did not apply until recently in religious orders.","celibacy allows the priest to be completely focused on his parish community without distraction. celibacy is a test of faith and an opportunity through denial to express the importance of that faith. if you make a vow its important to keep to it otherwise it becomes worthless it is the bedrock of catholisism that priests are celibate and to abandon this would be expecting catholics to rethink or abandon their beliefs to their detriment. some people choose celibacy to practice their religion.  they should be allowed to do so. if someone takes a vow to devote themselves to a greater purpose, they should be commended for such an unselfish act.  good for them for giving up pleasures of the flesh for something deeper to them.",Team A
We should abandon marriage,"abandoning marriage allows for people to grow as themselves without the weight of a relationship cultural and historical norms associated with weddings are outdated and became a distressing ordeal by adopting such practice we can get rid of all the burdens associate with marriage like financial, legal and social obligations. marriage is an outdated institution for the benefit of the male population, therefore it should be abandoned. marriage is a forced union society seems to think is needed to make a family and indicate loyalty to a significant other. marriage is not needed to prove love.","Even with high rates of divorce, married couples and the children of married parents ultimately have more stable and emotionally healthy lives than their unmarried counterparts. committment and stability are important in the lives of children and marriage provides these qualities marriage helps to maintain the family unit. marriage can show commitment and values it can give you rights and privileges under social security law and tax benefits marriage allows for increased economic freedom due to the combined incomes",Team B
We should abandon television,"abandoning television would encourage people to do other more beneficial activies such as reading, socialising, being outdoors and otherwise healthier pursuits. people can get all of the same information on the internet that they get on tv so there's no need for television. people spend too much time watching television at the cost of more active pursuits people would exercise more and be more productive people are already starting to cut the cord. television is largely being replaced by other forms of entertainment and should be abandoned before it's too late.","for many elderly their only source of company and entertainment is the television. many children learn letters and numbers and a great many things because of educational television people have the right to choose if they want to use their free time in front of the television or anything, everything is based on the freedom of personal choice millions of people depend on the television industry, abandoning it could create an economic crisis in some countries Television has become an integral part of our culture that we should cherish. It not only provides great entertainment, but it's also an excellent educational tool and allows us to keep up with the latest news.",Team A
We should abolish capital punishment,capital punishment can lead to miscarriage of justice of the worst kind capital punishment can potentially lead to the death of innocent men. there are cases where there is strong doubt that the person executed actually carried out the crime. All executions violate the right to life and are a gross affront to human dignity Capital punishment denies due process by making it impossible for new evidence or good behavior to change the sentence. capital punishment is a barbaric and inhumane practice that is outdated.,"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder. all guilty people should be punished and some criminals are simply impossible to rehabilitate and release. capital punishment helps deter crime. capital punishment acts as the ultimate deterrent for the most heinous of crimes, and saves vast amounts of money that would be spent keeping such offenders in jail for ever more. capital punishment can be a deterrent if criminals know this is the ultimate punishment",Team A
We should abolish intellectual property rights,"abolishing intellectual property rights on pharmaceuticals will saves lives, making drugs more accessible. by abolishing intellectual property rights we will allow everyone to expand on ideas and come up with even better products. intellectual property rights keep the costs of life saving products prohibitively high for average people intellectual property rights leads to monopolies, which drives up the prices for consumers. intellectual property rights create a monopoly position for a company which enables them to charge whatever they like for a product without fear of competition. it prices the poor out of markets","a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain. companies invest millions in research and development if other entities are able to use such ideas without prior investment then it's deeply unfair to the companies who developed the ideas. by abolishing these rights, the livelihood of the creators is severely threatened. each person or institution owns their innovations, therefore they must be the owners of the income they generate and there must be intellectual property rights. intellectual property rights are so important in that they don't allow someone to just steal someone else's ideas and creations for their own benefit.",Team B
We should abolish safe spaces,safe spaces are endorsing segregation instead of engouraging debate safe spaces are unnecessary and don’t provide for healthy discourse safe spaces should be abolished because they interfere with progress in reducing discrimination. safe spaces only shield people from the realities of the world and thus leave them unprepared. safe spaces make it more difficult for college students to transition to the real world.,"as long as we have entrenched racist or sexuality based prejudice and violence we continue to need safe places. people need to have a place to turn to in case of emergency where they know they will be protected. safe spaces are a place where minorities of any sort are safe to be who they are and are safe from discrimination, negative comments and harassment and in today's intolerant society are much needed. safe spaces allow for more open communication and hopefully for problem solving.  this is nothing but a good thing. safe spaces allow for people to voice concerns over discrimination and prejudice where they feel protected enough to have the confidence to speak freely. this is a great thing to combat discriminatory behavior.",Team B
We should abolish the right to keep and bear arms,abolishing the right to keep and bear arms will remove a lot of guns off the street and keep people safer. arms in the hands of private people can lead to more violence in our society and we should ban any of them by abolishing the right to keep and bear arms there will be less guns on the street and less people being killed. Gun ownership only breeds more violence. Guns sold on the consumer market today are inexcusably far too powerful for mere self-defense purposes. gun violence is out of control and guns are getting into the wrong hands,certain groups require firearms such as farmers in rural communities to deal with wild animals which can pose a threat to their crops or livestock. gun ownership is a given right and shouldn’t be taken away. we should be able to have guns for protection most gun owners abide by the law and we should not punish them because someone else committed a crime with a gun people have the right to defend themselves and their property by keeping and bearing arms people have the right to protect themselves and should have the right to keep and bear arms.,Team B
We should abolish zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed. animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health. animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished. animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment animals in zoos have been repeatedly found to be malnourished and mistreated.","we cannot close zoos that can help preserve endangered species from extinction some species are endangered and threatened by poaching. zoos are a place were we can guarantee their safety and survival. The caging of animals at Zoos is for the benefit of the species and keeps animals  from extinction. many zoos run breeding programs and protect species in danger of becoming extinct, without zoos we would lose many species around the world for ever! Breeding programs in zoos are saving many animals from extinction. Without these programs in zoos we would be losing losing many more species from the world.",Team B
We should adopt a multi-party system,"a multi party system ensures that everyone’s viewpoint can be represented and taken into account rather than only a minority. a multi party system allows far better choices for the diverse population, meaning they can find someone to vote for that they truly believe in and participate in a democracy better a multi party system would ensure more people get their viewpoint taken into account. a multi-party system allows a greater number of views to be heard. a multi party system would bring many new & fresh ideas into the forefront",a multi-party system could cause too much in fighting between groups that should be cooperating. a multi-party system would be divisive at a time when we need to pursue common interests. Coalitions can be unstable and cause the government to collapse. multiple parties will just confuse people and cause more divisiveness in society Multi-party systems are not efficient. The ruling coalition often has to negotiate with the minority parties in its coalition in order to pass legislation.,Team A
We should adopt an austerity regime,"adopting an austerity regime is necessary when our country is struggling, it is the only was to ensure a flourishing economy in the future. ending the debt ensures our country does not collapse. adopting an austerity regime is the best way to reduce the budget deficits we currently are faced with an austerity regime can help restructure a country's debt without increasing the deficit adopting an austerity regime would reduce government debt. an austerity regime can save the country money and reduce the national debt.",adopting an austerity program will ultimately hurt us more by cutting funding on important programs and increasing our taxes. an austerity regime hurts the poorest in our society adopting now an austerity regime will  sink the local economies and prevent any growth in scientific research for technological  improvement. adopting an austerity regime would put undue burden on the taxpayers austerity forces the poorest sections of the population into greater poverty.,Team B
We should adopt gender-neutral language,a gender neutral language should be adopted so that conversations and language would be fair for everyone. adopting a gender neutral language enables us to speak to each other in a more compassionate and understanding way. by adopting gender-neutral language there will be more equality and nobody will feel offended or excluded by adopting general-neutral language usage we send a clear message to children growing up that life is not segregated or determined by one's sex. adopting gender-neutral language helps the process of cultural change necessary for equality of the sexes,"adopting a gender neutral language may take away from ones identity. gender is part of a persons identity. gender neutral language is ambiguous and confusing for the listener gender characteristics are part of a person's identity, by using gender neutral language we invalidate those characteristics adopting gender-neutral language would be taking the political-correctness of society a step to far. gender and diversity are to be celebrated not ignored. gender-neutral language is not necessary and will confuse people.",Team A
